Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
123261,10509921,HZ251530,5/4/2016 18:00,017XX E 79TH ST,860,THEFT,RETAIL THEFT,CONVENIENCE STORE,FALSE,FALSE,414,4,8,43,6,1189186,1852942,2016,5/11/2016 15:50,41.75152734,-87.58229024,"(41.751527336, -87.582290243)"
123414,10509922,HZ251359,5/4/2016 7:00,043XX W WABANSIA AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2534,25,31,23,7,1147025,1910941,2016,5/11/2016 15:50,41.91159074,-87.73531182,"(41.911590736, -87.73531182)"
123458,10509927,HZ251431,5/4/2016 17:45,056XX S SHIELDS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,711,7,3,68,08B,1174935,1867409,2016,5/11/2016 15:50,41.79155592,-87.63408195,"(41.791555921, -87.634081949)"
123611,10509941,HZ251500,5/4/2016 17:30,001XX N WABASH AVE,560,ASSAULT,SIMPLE,SMALL RETAIL STORE,FALSE,FALSE,111,1,42,32,08A,1176799,1901023,2016,5/11/2016 15:50,41.88375352,-87.62623239,"(41.883753521, -87.626232394)"
123633,10509942,HZ251345,5/4/2016 16:36,095XX S INDIANA AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,FALSE,FALSE,511,5,6,49,3,1179264,1841740,2016,5/11/2016 15:50,41.72101961,-87.61899001,"(41.721019612, -87.618990007)"
124746,10509947,HZ251513,5/4/2016 17:57,057XX W MADISON ST,1360,CRIMINAL TRESPASS,TO VEHICLE,VEHICLE NON-COMMERCIAL,TRUE,FALSE,1513,15,29,25,26,1138058,1899436,2016,5/11/2016 15:50,41.88018642,-87.76853246,"(41.880186421, -87.768532463)"
124877,10509949,HZ251457,5/4/2016 18:00,0000X W 87TH ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA STATION,TRUE,FALSE,634,6,21,44,26,1177549,1847286,2016,5/11/2016 15:50,41.73627743,-87.62510451,"(41.736277427, -87.62510451)"
125010,10509950,HZ251461,5/4/2016 17:20,011XX W JACKSON BLVD,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,FALSE,FALSE,1232,12,2,28,6,1168933,1898798,2016,5/11/2016 15:50,41.87782218,-87.65518141,"(41.877822179, -87.655181405)"
125031,10509952,HZ251463,5/4/2016 17:40,0000X W 87TH ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,TRUE,FALSE,634,6,21,44,11,1177549,1847286,2016,5/11/2016 15:50,41.73627743,-87.62510451,"(41.736277427, -87.62510451)"
125053,10509954,HZ251556,5/4/2016 15:24,0000X E GRAND AVE,890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1834,18,42,8,6,1176740,1903915,2016,5/11/2016 15:50,41.89169066,-87.62636155,"(41.891690656, -87.626361552)"
125119,10509955,HZ251570,5/4/2016 17:20,052XX S LAKE PARK AVE,890,THEFT,FROM BUILDING,ATHLETIC CLUB,FALSE,FALSE,234,2,4,41,6,1187633,1870769,2016,5/11/2016 15:50,41.80048316,-87.58741453,"(41.800483161, -87.587414531)"
